店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
蓝钻美食自助·海鲜自助火锅,37352,综合自助,蓝钻国际美食自助百汇,989335,http://p1.meituan.net/poi/edc4f7921173c4a40bf3a5dc3f376bbc66022.png,5,114,129,鲁谷,172,39.903354,116.244891,石景山区鲁谷路74号瑞达大厦3楼（近国际雕塑公园）,,"5,4,",免费提供700个停车位,单人午/晚餐129元起;,周一至周日 11:00-14:00 17:30-21:00,010-68607555,276972,蓝钻国际美食自助百汇，最先感受到得是店家的热情，无论是餐厅服务员还是餐厅经理，都会对您微笑以待。店内采用欧式风格设计，尽显品位和时尚。西直门店有500餐位300多种菜品 石景山店600个餐位400多种菜品，汇集了了中餐、南洋美食、西点、综合、广点、烧烤、饮料吧等多个特色美食区域，拥有400多种国际经典菜式，现场烹调，力求将原料的天然香味呈现给顾客。再挑剔的人也总会找到一款满意的食物。,,False,0,1500,276972,True,False
铁木真(国泰百货双桥店),41355673,综合自助,铁木真,1092343,http://p0.meituan.net/poi/46da6430b48b9f89aa985d87b85d3ae237279.png,3.1,60,64.9,双桥,14,39.908415,116.577535,朝阳区双桥路2号国泰百货B2层,-2,"175,",免费提供5个停车位,单人午/晚餐64.9元;,周一至周日 11:00-23:00,010-65703503,261930,,,False,0,1390,261930,True,False
东来顺饭庄(五道口店),1500269,老北京火锅,,0,,3.4,119,85,五道口,17,39.992141,116.339135,海淀区成府路28号五道口购物中心5楼13号（近五道口地铁站）,5,"133,1482,",,每满100减10（买单立享）;双人餐119元，4人餐219元，6人餐329元;85代100元;,周一至周日 11:00-21:00,010-62666198,261272,“东来顺”是一个具有百年历史的中华老字号，始创于1903年，其传统“涮羊肉”以独特的风味、纯正的品质、精湛的技艺而驰名海内外，素有“食之精粹、国之瑰宝”之美誉。提起北京的涮羊肉而且又是几百年历史的那就只有“东来顺”了。说起“东来顺”，别说是外地人了，就是北京人也是津津乐道，资格老，味道好。无论是寻常百姓，还是达官贵人、文人墨客都经常出入，前来品尝东来顺涮羊肉的特色风味。,,False,0,1289,261272,True,False
中央电视塔空中观景旋转餐厅,286027,综合自助,中央电视塔空中观景旋转餐厅,140774,,4.2,213,248,航天桥,17,39.919408,116.30631,海淀区西三环中路11号,,"1272,",停车位收费标准：用餐免费停车3小时，用餐完毕后到领位处领取停车券，超出3小时部分，每小时5元。,单人午餐248元，单人晚餐308元;,周一至周日 11:00-14:00 17:00-21:30,010-68450715,254748,环境“不错”，尤其“天气晴朗”的时候俯瞰北京，“感觉很好”。自助餐的质量“不太挑剔的话还说得过去”，晚上会“相对丰盛些”。价格“包含了登塔和海底世界的门票”，算下来还挺值。,,False,0,2638,254748,True,False
好伦哥(永定路店),263972,综合自助,好伦哥,23789,http://p1.meituan.net/poi/9faec28ca3cb626fc6339d14b2218de9120018.png,3.7,54,67,五棵松,17,39.90668,116.26419,海淀区复兴路甲36号百朗园B座2层,,"6,5,",免费停车,单人午/晚餐67元;,"周六,周日 10:30-21:30  周一至周五 10:30-15:00 16:30-21:30",010-88204686,251890,好伦哥（ORIGUS ）是外商独资西餐连锁企业，于1998年登陆中国，在中国推出了比萨自助经营模式。在好伦哥，纯手工制作的经典比萨、久负盛名的秘制鸡翅、地道的西式热菜、新鲜的果蔬沙拉、流行饮料、特色主食、西式糕点、精美小吃、传统意面、特选例汤……近百种美食可以自由选择；优雅的环境、轻松自由的氛围、朋友同学间的亲密……好伦哥留给了众多顾客美好的用餐体验和美好的回忆。,,False,1,1269,251890,True,False
戈拿旺巴西烤肉(崇文门店),349466,烤肉自助,戈拿旺巴西烤肉,25509,http://p0.meituan.net/poi/9699257f5a7493bbfdfc4645639d5f92295756.png,4.5,89,118,崇文门新世界,15,39.897165,116.414782,东城区东兴隆街56号北京商界2楼（近崇文门新世界）,,"32,83,84,1454,1463,",有停车位,单人午餐118元，单人晚餐118元;,周一至周日 11:30-14:00 17:30-21:30  2019-02-04至2019-02-07 休息,010-67025190,251117,戈拿旺巴西烤肉是一家以拉丁为主题的南美文化餐厅，让客人在享受美味佳肴的同时，更多地了解南美文化，感受拉丁舞的激情互动。多年来戈拿旺本着客户至上、诚信、真诚的服务理念，让每一位客人在吃出品味，吃出健康的同时体验到真正的快乐，很多客人都成为戈拿旺忠实的朋友。 正宗巴西烤肉的用餐风格，肉食动物的最爱。正宗巴西烤肉的用餐风格，享受各种美味的新鲜沙拉和香浓的奶油汤，红菜汤等来开启您的烤肉之旅，紧跟其后的是鲜美的巴西烤肉主餐，百余种自助餐搭配巴西 烤肉免费享用。这里就是“肉食动物的最爱”，烤肉“一轮一轮地上”。三角肉“超好吃”，牛肩峰“非常嫩”，火鸡卷“咸咸的，很有嚼头”。自助台上各种色拉 也“挺丰富”，很能解腻。环境“还不错”，“很宽敞”，即使不爱吃这些东西，“光待着也不难受”。服务“热情”、“主动”，表演“精彩”。适合“一票朋友 热闹疯狂”。,,False,0,610,251117,True,False
汉丽轩海鲜火锅烤肉自助(梨园店),5923903,综合自助,汉丽轩,23787,http://p1.meituan.net/poi/23c31c21b38ee08a975cfb821d4f5600109505.png,3.7,52,63,梨园,4751,39.87604,116.665499,通州区梨园镇云景东路蓝岛大厦南300米,,"181,",免费停车,单人午餐63元，单人晚餐73元;,周一至周日 11:00-14:30 17:00-22:00,010-81520503,248593,汉丽轩烤肉是一家提供韩式自助烤肉服务的连锁餐饮企业，公司改变传统韩式烧烤和自助餐的运营模式，提出了烤肉超市这一独特、富有创意的全新运营模式。一直遵循注重菜品质量，服务优质，价格实在的原则，经过不断努力已经在同行业及消费者心中建立了良好的口碑。餐厅环境温馨舒适，清新雅致，韩国文化气息浓郁。进入就能感受到另一个国度生活方式的不同品位与礼仪。而且服务很周到，就想象一下韩剧里招待客人的礼仪，贵宾级的体验呢,,False,0,820,248593,True,False
将太无二(凯德MALL店),2535306,日式寿司,将太无二,465953,http://p1.meituan.net/poi/22a6102379be59947a8b8e7d09f9090263252.png,4.3,132,95,西直门/动物园,16,39.941516,116.352974,西城区西直门外大街1号凯德MALL6楼,6,"130,24,53,",有停车位,每满100减5（买单立享）;双人餐218元起，3-4人餐538元;95代100元;,周一至周日 11:00-21:30  非营业时段 2018-02-16至2018-02-16 19:00-23:30 2018-02-15至2018-02-15 18:00-23:30,010-58302070/58302069,239993,将太无二是源自加拿大带有北美血统的新派创意料理餐厅。创始人身为加籍华人，他独具匠心地将北美风格创意美食融入东方美食料理。餐厅供应刺身、创意寿司等精美菜品。将太无二致力于将营养的美食、独特的口味、创意的搭配送到每位食客面前，将健康与美味优质演绎在一起，是每一位美食爱好者的享宴圣地。将太无二始终坚持推出高品质的单点菜品，为您带来加拿大的深海北极贝，泛着红宝石般光泽的新鲜金枪鱼，每日清晨空运到餐厅的大连海胆，口感肥腴滑嫩的三文鱼腩，捕捞量极低的蓝鳍金枪鱼，都是在他处难以寻觅的无二美味。,,False,1,160,239993,True,False
好伦哥自助比萨(龙旗购物中心店),4502840,披萨,好伦哥,23789,http://p1.meituan.net/poi/9faec28ca3cb626fc6339d14b2218de9120018.png,3.6,68,66,回龙观,4750,40.066763,116.347357,昌平区黄平路19号院龙旗购物中心3楼,3,"91,",免费停车,单人午/晚餐66元;66代69元;,"周六,周日 11:00-21:00  周一至周五 11:00-14:00 17:00-21:00",010-82694837,235800,好伦哥（ORIGUS ）是外商独资西餐连锁企业，于1998年登陆中国，在中国推出了比萨自助经营模式。在好伦哥，纯手工制作的经典比萨、秘制鸡翅、地道的西式热菜、新鲜的果蔬沙拉、流行饮料、特色主食、西式糕点、精美小吃、传统意面、特选例汤……近百种美食可以自由选择；优雅的环境、轻松自由的氛围、朋友同学间的亲密……好伦哥留给了众多顾客美好的用餐体验和美好的回忆。,,False,0,1323,235800,False,False
东来顺饭庄(中关村店),36235,老北京火锅,,0,,4.1,95,82,中关村,17,39.982234,116.307698,海淀区中关村海淀大街34号海置创投大厦,,"109,47,",,每满100减15（买单立享）;4-5人餐188元，4-5人餐188元，4-5人餐209元;82代100元，85代100元;,周一至周日 11:00-21:30,010-82611636/82613959,231311,"""东来顺”始创于1903年，其传统“涮羊肉”以独特的风味、纯正的品质，素有“食之精粹、国之瑰宝”之美誉。提起北京的涮羊肉而且又是几百年历史的那就只有“东来顺”了。说起“东来顺”别说是外地人了，就是北京人也是津津乐道，资格老，味道好。无论是寻常百姓，还是达官贵人、文人墨客都经常出入，前来品尝东来顺涮羊肉的特色风味。东来顺装修环境，古典大气，雅致舒适。桌椅、灯饰、餐具等都经过精心挑选，大到整个色调的搭配、装饰灯和沙发的精心选择，小到灯饰、餐具上东来顺的标志，色彩搭配独具民族特色。多元化的色彩以及配饰。中关村店、双井店均处热门商圈，周边集购物娱乐为一体，地理位置十分优越。",,False,0,997,231311,True,False
将太无二(欧美汇购物中心店),2548785,日本菜,将太无二,465953,http://p1.meituan.net/poi/22a6102379be59947a8b8e7d09f9090263252.png,4.4,126,218,中关村,17,39.97952,116.314146,海淀区中关村丹棱街甲1号欧美汇购物中心5层,5,"48,110,47,109,",免费停车,每满100减5（买单立享）;双人餐218元起，3-4人餐538元;,周一至周日 11:00-21:00,010-82484315/82484125,218718,将太无二是源自加拿大带有北美血统的新派创意料理餐厅。创始人身为加籍华人，他独具匠心地将北美风格创意美食融入东方美食料理。餐厅供应刺身、创意寿司等精美菜品。将太无二致力于将营养的美食、独特的口味、创意的搭配送到每位食客面前，将健康与美味优质演绎在一起，是每一位美食爱好者的享宴圣地。将太无二始终坚持推出高品质的单点菜品，为您带来加拿大的深海北极贝，泛着红宝石般光泽的新鲜金枪鱼，每日清晨空运到餐厅的大连海胆，口感肥腴滑嫩的三文鱼腩，捕捞量极低的蓝鳍金枪鱼，都是在他处难以寻觅的无二美味。,,False,1,218,218718,True,False
金滏山自助烤肉(大成路店),4147527,烤肉自助,金釜山烤肉,26541,http://p1.meituan.net/poi/132fec8eaf959e06b4e6b344706f84d315711.png,3.6,44,59,青塔,20,39.889762,116.255102,丰台区大成路23号天泰大厦3楼（久隆百货青塔店十字路口向东）,,,有停车位,单人午餐59元，单人晚餐69元;,周一至周日 11:00-14:00 17:00-21:00  2019-02-01至2019-02-10 休息,010-68677688/68699688,206738,北京金滏山餐饮管理有限责任公司自2007年开业至今，一直把菜品品质、服务质量放在首位，让每一位顾客在金滏山消费，都觉得舒心，经过不断努力已经在同行业及消费者心中建立了良好的口碑。 金滏山烤肉是一家提供自助韩式烤肉服务的连锁餐饮企业，提出了“烤肉美食中心”这一独特、富有创意的全新运营模式。进入用餐区后，顾客可以根据自己的口味，随意选取200多种美味佳肴。在金釜山的菜品的几大区域：常规菜区、小吃西点区、凉菜区、水果区、酒水饮料区等，胃口可以一次满足个够。香、甜、麻、辣等适合不同人的口味，力争让客人尝遍天下美食，尽饮美酒佳酿。偌大的大厅宽敞大气，可以容纳上百人同时用餐，所有的餐具摆放整齐、干净透亮。,,False,0,601,206738,True,False
金源福城肥牛火锅(远大路金源店),264962,牛羊肉火锅,金源福城肥牛,1071196,http://p1.meituan.net/poi/5dbc7f7d4fa6e97ca5405b9f68859be461644.png,4.3,83,85,远大路,17,39.958559,116.288673,海淀区远大路1号金源时代购物中心五层5-17号（公交站远大路东口站下）,5,"1269,1268,",商家服务：停车位收费标准：营业时间免费停车：09:30—23:00。其他时间段金源停车收费,双人餐158元，4人餐298元，8人餐588元;85代100元;,周一至周日 10:00-23:00,010-88875288,205333,金源福城肥牛以提供超值用餐体验为主旨的经营方针，开业十年来始终是海淀西部地区人气超旺的大店，餐厅先后荣获“国家五钻特级酒家”“中国火锅名店”“北京市著名商标”“北京市十大火锅宴”“卫生标准A级店”“国家五叶绿色饭店”等荣誉称号。采用一人一锅的健康饮食方式，金源福城在美丽的锡林格勒草原购置牧场，牛羊在辽阔的蓝天碧水绿草中生态放牧，属真正的无公害绿色食品。成品肉质口感细腻，味道鲜美,,False,1,638,205333,True,False
便宜坊(华润五彩城购物中心店),1519954,烤鸭,便宜坊,24544,http://p1.meituan.net/poi/ded2f8cf40b8018840ddf3b70ac5705520979.png,4.4,83,89,清河,17,40.030642,116.332584,海淀区清河中街68号华润五彩城购物中心西区4层,4,,停车位收费标准：停车大厦3小时内免费，超出3小时每小时2元，可凭餐饮小票兑换免费停车券,4人餐368元，8人餐688元，10人餐899元起;89代100元，440代500元，850代1000元;,周一至周日 11:00-14:00 17:00-22:00,010-82816889/82816839,202406,北京悦府盛宴餐饮管理有限公司地处市区繁华黄金地段，地理位置优越，交通便利。会所设施齐全，装修豪华典雅，别俱一格。会所拥有大型宴会厅，KTV包厢及多功能厅等，并采用了科学的经营机制和管理方法。公司致力于高端中餐，以“宾客至上，服务**”为宗旨，为顾客提供高品质的餐饮服务。不断追求卓越，得到了社会各界的一致好评，悦府餐饮真诚恭候您的光临！,,False,1,285,202406,True,False
丁丁洋回转自助火锅(望京华彩店),312997,火锅自助,丁丁洋回转自助火锅,95307,http://p1.meituan.net/poi/186877d3baced77510b8c1ffdf2fc92239508.png,3.8,40,39.9,望京,14,40.011013,116.469622,朝阳区广顺北大街18号院华彩商业中心家乐福二层服务台旁,2,"1488,",,单人午/晚餐39.9元;,周一至周日 11:00-21:00,010-59814126,201156,丁丁洋回转自助火锅是北京汉丽轩餐饮管理有限责任公司旗下的一家大众消费品牌餐饮店，主要经营回转火锅自助餐饮。丁丁洋颠覆中国传统经营火锅模式，通过回转机械传送美食。在这种独特、极具创意的全新模式下，让顾客在自助的形式中享受休闲火锅带来的酣畅淋漓的感觉。,,False,0,1251,201156,True,False
鲜有基参鸡汤(望京港旅店),2714039,韩国菜,,0,,5,69,63,望京,14,39.996394,116.464451,朝阳区湖光中街甲6号港旅大厦1层（近南湖南路北口）,1,"1485,147,1490,",免费停车,单人餐63元起;93代100元;,周一至周日 10:30-22:30,010-64716686/64746686,195394,张师傅参鸡汤，环境优雅，舒适，经济实惠，营养丰富，给广大消费者提供最贴心的服务，最美味的套餐,,False,1,572,195394,True,False
好伦哥比萨自助(天坛东门店),290852,综合自助,好伦哥,23789,http://p1.meituan.net/poi/9faec28ca3cb626fc6339d14b2218de9120018.png,3.5,52,56,天坛,15,39.882981,116.420432,东城区天坛东路天坛内东里1号,,"85,",,单人午/晚餐56元;,周一至周日 11:00-21:30  2019-10-01 休息,010-67015617/67015613,186577,好伦哥（ORIGUS ）是外商独资西餐连锁企业，于1998年登陆中国，在中国推出了比萨自助经营模式。在好伦哥，纯手工制作的经典比萨、久负盛名的秘制鸡翅、地道的西式热菜、新鲜的果蔬沙拉、流行饮料、特色主食、西式糕点、精美小吃、传统意面、特选例汤……近百种美食可以自由选择；优雅的环境、轻松自由的氛围、朋友同学间的亲密……好伦哥留给了众多顾客美好的用餐体验和美好的回忆,,False,0,779,186577,True,False
火炉火自助餐(五道口购物中心店),4113420,韩国菜,火炉火,2883201,http://p0.meituan.net/poi/c0383d25a4807ba7c251d343bc29af9c47574.png,4.1,82,89,五道口,17,39.992005,116.339137,海淀区成府路28号五道口购物中心5层（地铁13号线五道口站B西南口旁）,5,"133,1482,",免费停车,单人餐89元起;,周一至周日 11:00-14:00 16:30-21:00,010-82363510,174010,,,False,1,534,174010,True,False
巧板烤肉自助(西三旗店),1423530,烤肉自助,,0,,4.3,65,58,回龙观,4750,40.059117,116.338035,昌平区西三旗桥向东800米，路北（龙乡小区南门西侧）,,"91,",免费提供50个停车位,单人午餐58元，单人晚餐64.9元;,周一至周日 11:00-13:30 17:00-20:30,010-82937878,173158,,,False,0,1268,173158,True,False
好伦哥比萨自助新航母(回龙观店),90991425,综合自助,好伦哥,23789,http://p1.meituan.net/poi/9faec28ca3cb626fc6339d14b2218de9120018.png,4.2,74,92,回龙观,4750,40.080335,116.336531,昌平区回龙观西大街北店时代广场C区4层,4,,,单人午餐92元，单人晚餐99元;,"周六,周日 10:30-21:30  周一至周五 11:00-14:30 17:00-21:30  2019-02-04 10:30-15:00 2019-02-05至2019-02-10 10:30-21:30",010-81727066,169473,,,False,1,813,169473,False,False
汉斯特自助烤肉(良乡店),2527590,烤肉自助,汉斯特自助烤肉,25859,http://p1.meituan.net/poi/c90151953bbdab393b04bb378d7eecb912794.png,3.5,48,56.8,良乡,710,39.734838,116.141769,房山区良乡拱辰大街53号大厦5楼（苏宁电器南30米）,,,,单人午餐56.8元，单人晚餐57.8元;,周一至周日 11:00-14:30 17:00-21:30,010-57155740,162895,汉斯特自助烤肉集各系列共200余种菜品，开放式厨房现场烹调料理，自主挑选食材，更有花样繁多的酒水、饮料果汁，全部免费无限畅饮，使您充分体验每道佳肴新鲜上桌时所带来的优越享受。店内装潢简洁大气，宽敞的桌椅，可以满足不同人数的需要。橘色的氛围，宽厚的陈设，简单的线条勾勒出店的主体，让您尽享自助的无限乐趣,,False,0,817,162895,True,False
小岛海鲜自助火锅,63701087,火锅自助,,0,,3.7,78,79,亦庄,4752,39.796748,116.488664,大兴区天宝北街1号（儒宴孔府菜二楼）,,"162,",免费提供100个停车位,单人午/晚餐79元起;,周一至周日 11:00-13:30 17:00-20:30,010-67826496/67826498,160164,,,False,0,1263,160164,True,False
好伦哥比萨自助(劲松店),267256,综合自助,好伦哥,23789,http://p1.meituan.net/poi/9faec28ca3cb626fc6339d14b2218de9120018.png,3.6,52,57,劲松,14,39.881821,116.456301,朝阳区劲松南路9号（农业银行旁）,,"129,1277,",,单人午/晚餐57元;,"周六,周日 11:00-21:30  周一至周五 11:00-14:30 17:00-21:30",010-67703855,158086,好伦哥（ORIGUS ）是外商独资西餐连锁企业，于1998年登陆中国，在中国率先推出了比萨自助经营模式。除了自助餐， 好伦哥还提供零点、冷餐会等全方位服务，并成为2008北京奥运会新闻中心指定餐饮服务商目前好伦哥已在全国数十个城市开办了百余家餐厅，并拥有数十万 好伦哥会员。 在好伦哥，纯手工制作的经典比萨、久负盛名的秘制鸡翅、地道的西式热菜、新鲜的果蔬沙拉、流行饮料、特色主食、西式糕点、精美小吃、传统意面、特选例汤…… 数十种美食可以自由选择；优雅的环境、轻松自由的氛围、朋友同学间的亲密无间……好伦哥留给了众多顾客美好的用餐体验和珍贵的记忆。,,False,0,1309,158086,True,False
东来顺(朝阳双井店),40191,老北京火锅,,0,,4.5,98,82,双井,14,39.896381,116.462136,朝阳区东三环中路18号东环国际大厦3层（位于双井桥东北，晨曦百货对面）,,"1466,128,",,每满100减15（买单立享）;4-5人餐188元，4-5人餐188元，4-5人餐209元;82代100元，85代100元;,周一至周日 11:00-21:30  2019-02-04 11:00-20:00,010-87953402/65068866,155017,"""东来顺”始创于1903年，其传统“涮羊肉”以独特的风味、纯正的品质，素有“食之精粹、国之瑰宝”之美誉。提起北京的涮羊肉而且又是几百年历史的那就只有“东来顺”了。说起“东来顺”别说是外地人了，就是北京人也是津津乐道，资格老，味道好。无论是寻常百姓，还是达官贵人、文人墨客都经常出入，前来品尝东来顺涮羊肉的特色风味。东来顺装修环境，古典大气，雅致舒适。桌椅、灯饰、餐具等都经过精心挑选，大到整个色调的搭配、装饰灯和沙发的精心选择，小到灯饰、餐具上东来顺的标志，色彩搭配独具民族特色。多元化的色彩以及配饰。中关村店、双井店均处热门商圈，周边集购物娱乐为一体，地理位置十分优越。",,False,0,278,155017,True,False
蓝钻·国际美食海鲜自助百汇(西直门店),37353,综合自助,蓝钻国际美食自助百汇,989335,http://p1.meituan.net/poi/edc4f7921173c4a40bf3a5dc3f376bbc66022.png,4.8,219,238,北下关,17,39.943688,116.350017,海淀区高梁桥斜街59号中坤大厦内钟鼎楼食府3楼（近西直门凯德MALL）,3,"130,24,53,",免费提供停车位、空调效果好.,单人午餐238元，单人午/晚餐268元，单人午/晚餐299元，单人午/晚餐399元;,周一至周日 11:00-14:30 17:30-21:30,010-62193338/62107091,152376,蓝钻国际美食自助百汇，最先感受到得是店家的热情，无论是餐厅服务员还是餐厅经理，都会对您微笑以待。店内采用欧式风格设计，尽显品位和时尚。西直门店有500餐位300多种菜品 石景山店600个餐位400多种菜品，汇集了了中餐、南洋美食、西点、综合、广点、烧烤、饮料吧等多个特色美食区域，拥有400多种国际经典菜式，现场烹调，力求将原料的天然香味呈现给顾客。再挑剔的人也总会找到一款满意的食物。,,False,0,364,152376,True,False
